
sample	lnL(posterior)	lnL(seq)	lnL(times)	lnL(rates)	birth	death	clock	root	tstv	nu	rr0	rr1	rr2	pr0	pr1	pr2	t(calib:CAL1_clade:CLADE1)	t(calib:CAL1_clade:CLADE2)	t(calib:CAL2_clade:CLADE3)	clade(calib:CAL1)	clade(calib:CAL2)	br0	br1	br2	br3	br4	br5	br6	br7	br8	br9	br10	br11	br12	br13	br14	br15	br16	br17	br18	br19	br20	br21	br22	br23	br24	br25	br26	br27	br28	br29	br30	br31	br32	br33	br34	br35	br36	br37	br38	br39	br40	br41	t22	t23	t24	t25	t26	t27	t28	t29	t30	t31	t32	t33	t34	t35	t36	t37	t38	t39	t40	t41	t42	accRT	tuneRT	accT	tuneT	accClock	tuneClock	accTCr	tuneTCr	accTreeRates	tuneTreeRates	accSprW	tuneSprW	accSpr	tuneSpr	accSprLoc	tuneSprLoc	
  1000	 -24069.4	 -23970.0	    -72.9	    -26.6	   0.0110556	  0.00519346	 0.000453017	    -317.677	     6.28447	    0.542627	0.0163193	0.600887	4.32943	0.530049	0.279806	0.190145	-123.251	-59.2983	-317.677	CLADE1	CLADE3	0.661237	0.981702	0.772892	1.00211	1.84814	0.676232	0.788959	0.87449	1.33518	1.49508	1.70224	0.970666	1.60813	1.55155	1.08842	1.19253	1.49153	1.8852	1.09421	1.51099	1.05599	0.95118	1.00758	0.666064	1.17796	0.740645	0.465381	1.29894	0.663486	0.385398	1.46889	0.874705	1.60804	0.16135	1.20056	0.181523	0.970192	0.944922	0.0935314	1.26268	1.38098	1.91818	-99.1738	-57.2605	-254.362	-34.8289	-84.6091	-79.7481	-33.0686	-31.4824	-231.609	-95.1	-159.995	-123.251	-50.214	-97.7842	-78.848	-147.873	-66.1803	-59.2983	-224.28	-45.9644	-317.677	0.455446	1.5	0	1	0.39604	1.5	0	1	0	1	0.00961539	0.0585277	9.61538E-09	0.197531	9.61538E-09	0.296296	
  1100	 -24050.9	 -23954.7	    -73.7	    -22.5	   0.0111651	  0.00564534	 0.000422796	    -361.152	     6.28447	    0.508176	0.016032	0.604561	4.25321	0.530049	0.276074	0.193877	-212.462	-62.2283	-361.152	CLADE1	CLADE3	1.27659	1.40846	0.87616	1.17532	1.3922	0.509404	0.879426	0.532409	1.10642	1.16353	1.52819	0.348047	1.5914	0.542376	1.00818	1.36773	1.1804	1.49195	0.952533	1.31534	1.26998	1.15465	1.12998	0.834568	0.414916	0.875914	0.0763559	0.20229	1.15399	0.455905	1.1207	1.2538	1.17062	0.606934	1.36985	0.949546	1.88362	0.304835	0.745137	1.30956	0.85788	1.21769	-99.0749	-47.0354	-204.322	-29.4372	-74.8042	-81.1109	-41.3571	-34.0716	-237.298	-96.8968	-150.169	-183.623	-59.7763	-79.8726	-89.6424	-87.6791	-200.449	-62.2283	-212.462	-30.0611	-361.152	0.455446	1.5	0	1	0.39604	1.5	0	1	0	1	0.00961539	0.0585277	9.61538E-09	0.197531	9.61538E-09	0.296296	
  1200	 -24043.2	 -23944.8	    -74.9	    -23.6	   0.0079742	  0.00452024	 0.000410045	    -302.962	     6.28447	    0.508176	0.0170925	0.703043	4.53456	0.542685	0.282655	0.17466	-203.074	-106.88	-302.962	CLADE2	CLADE3	1.52506	1.97875	0.721076	0.793004	1.18442	0.37146	1.21038	0.598084	0.968714	0.830829	0.956204	0.2286	1.83751	0.563229	0.695166	0.623956	1.44166	1.67058	0.652822	0.930908	1.15788	1.22221	1.03067	1.13939	0.982046	0.710206	1.32007	0.594386	1.04341	0.780614	1.66503	0.773788	0.970898	0.748354	1.4041	0.180672	1.24496	0.234036	1.08453	0.597612	0.875725	0.522061	-90.863	-68.6919	-220.092	-18.8415	-85.5416	-121.053	-48.2518	-44.9193	-243.17	-88.3464	-158.596	-171.459	-51.994	-65.2114	-74.457	-94.6357	-189.163	-106.88	-203.074	-25.2996	-302.962	0.623762	2.25	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.0390184	0.0192308	0.131687	9.61538E-09	0.197531	
  1300	 -24022.5	 -23917.6	    -77.5	    -27.4	   0.0167487	  0.00255124	 0.000380667	    -410.353	     6.28447	    0.480049	0.0213498	1.33173	5.66401	0.638829	0.244516	0.116654	-197.565	-83.9609	-410.353	CLADE2	CLADE3	0.944061	1.2784	0.732314	1.7189	1.21604	0.480323	1.21038	1.0496	1.74721	0.748966	1.29696	0.272648	2.11277	0.45081	0.88997	0.982991	1.14296	1.55449	0.572018	0.815684	1.52501	1.12366	0.830118	0.558798	0.166468	1.58544	1.89849	0.536834	1.48017	0.83291	1.09195	0.929718	1.07001	1.36133	1.62443	1.01099	0.310224	0.139473	1.05551	0.795238	0.361377	1.14512	-95.8351	-58.2993	-122.01	-20.9361	-91.3996	-108.381	-41.4641	-56.9637	-263.394	-90.2135	-171.495	-165.699	-64.1398	-77.9081	-45.8708	-84.1425	-185.924	-83.9609	-197.565	-43.1057	-410.353	0.623762	2.25	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.0260123	0.0192308	0.131687	9.61538E-09	0.197531	
  1400	 -24014.4	 -23914.2	    -74.8	    -25.4	  0.00742076	  0.00133083	  0.00035488	     -426.57	     6.28447	    0.503089	0.0332376	1.32147	5.6204	0.638829	0.244516	0.116654	-261.33	-85.284	-426.57	CLADE2	CLADE3	0.968202	1.23732	0.728516	1.11466	1.403	0.670456	0.644475	0.555072	0.933163	0.737347	1.29428	0.276432	2.16057	0.340812	0.934414	0.886197	1.30204	1.67503	0.951375	1.1925	0.812002	0.868519	1.54073	0.611709	0.186662	1.07671	0.755395	0.500978	0.613007	0.330889	1.13334	0.964266	0.730844	1.4251	1.95711	0.324847	1.40754	1.05214	0.160772	1.15615	1.01197	1.00179	-96.8984	-62.7387	-188.149	-39.3198	-92.1978	-100.613	-35.9388	-31.0132	-284.978	-88.4237	-134.98	-162.033	-63.5702	-98.522	-85.8862	-123.393	-183.378	-85.284	-261.33	-42.0309	-426.57	0.623762	2.25	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.0173415	0.0192308	0.131687	0.0192308	0.131687	
  1500	 -24017.5	 -23915.3	    -72.8	    -29.5	  0.00983519	  0.00196593	  0.00037698	    -453.575	     6.28447	    0.503089	0.0339651	1.3504	5.74342	0.652774	0.231376	0.115851	-236.591	-59.4486	-453.575	CLADE1	CLADE3	1.31445	1.67982	0.949357	1.48193	1.67644	0.801129	0.728956	0.733961	1.32484	1.36449	1.72013	0.236161	2.20323	0.364469	0.752777	1.10008	1.34213	1.72661	1.43044	1.79299	1.03753	0.817695	1.41695	1.26594	0.293123	1.3302	0.969806	0.845107	0.994314	0.490889	0.707762	0.14491	0.782556	0.633676	1.44071	1.49155	0.470265	0.112945	0.492861	0.434438	0.707351	0.953884	-96.2202	-51.8098	-139.073	-21.2335	-90.3894	-113.27	-29.5567	-20.2699	-274.575	-61.7507	-136.912	-156.147	-60.6049	-78.7688	-63.8298	-82.5129	-210.937	-59.4486	-236.591	-30.4237	-453.575	0.623762	2.25	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.0173415	0.0192308	0.131687	0.0192308	0.131687	
  1600	 -24012.9	 -23904.4	    -73.4	    -35.2	    0.013256	  0.00119488	 0.000420544	    -381.344	     6.28447	    0.653808	0.0335016	1.39095	5.66505	0.652774	0.231376	0.115851	-188.245	-67.4404	-381.344	CLADE2	CLADE3	0.982645	1.5875	0.904574	0.908567	2.19124	0.727299	1.40573	0.608079	1.11197	1.39431	1.53072	0.279855	2.37569	0.575237	0.796899	0.943266	1.51158	1.93215	0.829345	1.13586	1.66915	1.44394	1.39217	1.42229	0.530063	0.786479	0.261785	0.434673	2.02436	1.29761	0.911442	0.0815298	1.4131	1.61553	1.87049	1.84919	1.50371	0.238846	1.49306	0.404246	0.179762	1.07497	-95.3901	-53.7568	-228.994	-21.9623	-81.3584	-108.016	-26.8466	-46.775	-238.42	-65.4243	-151.489	-143.28	-55.8361	-55.2097	-85.9701	-60.1479	-179.696	-67.4404	-188.245	-33.7049	-381.344	0.623762	2.25	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.011561	0.0192308	0.0877915	0.0192308	0.131687	
  1700	 -24018.8	 -23903.1	    -74.6	    -41.0	  0.00744004	 0.000820727	 0.000386327	    -334.027	     6.28447	     0.86397	0.0310962	1.29108	5.2583	0.644491	0.224191	0.131318	-237.16	-75.2922	-334.027	CLADE2	CLADE3	1.52355	1.63452	0.917894	1.0259	0.96188	0.309281	1.7402	0.980291	1.97234	1.54606	1.69732	0.286054	2.76624	0.565234	0.970205	1.02564	2.09979	2.687	0.464972	0.636819	2.0663	0.920672	1.37933	0.747847	1.24401	0.88107	0.547163	0.544022	2.44785	2.09688	1.75434	0.636734	1.82503	1.10729	1.70114	1.17819	0.694661	0.409829	0.801245	0.552984	2.25799	1.19117	-92.3131	-62.4245	-264.592	-19.4674	-83.8726	-106.879	-78.1534	-103.281	-242.105	-79.8159	-147.627	-152.33	-49.7585	-107.191	-68.2347	-114.294	-216.945	-75.2922	-237.16	-34.2509	-334.027	0.485149	3.375	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.00770735	9.61538E-09	0.0585277	0.00961539	0.0877915	
  1800	 -24037.4	 -23915.1	    -77.3	    -45.0	    0.013313	  0.00166564	 0.000393459	     -409.34	     6.01047	     1.21775	0.0310962	1.29108	5.2583	0.644491	0.224191	0.131318	-232.389	-68.1492	-409.34	CLADE2	CLADE3	1.57608	1.82948	0.804673	1.37702	1.31397	0.365897	1.47308	1.22316	2.46099	1.79723	1.96205	0.318807	3.41328	0.578212	1.24891	1.01217	1.98963	2.37773	0.633021	0.866977	2.45705	0.926859	1.90329	1.41931	0.60277	1.27375	1.83831	0.752004	1.28902	0.549577	0.877231	0.176376	2.09888	1.38407	1.72506	1.20741	0.569945	0.503721	0.353428	1.09512	1.36827	1.10887	-105.78	-74.99	-234.296	-17.3109	-98.9054	-87.7921	-54.279	-80.2159	-239.55	-89.1112	-152.685	-144.966	-60.0904	-112.585	-56.676	-130.775	-205.662	-68.1492	-232.389	-35.0091	-409.34	0.485149	3.375	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.00770735	9.61538E-09	0.0585277	0.00961539	0.0877915	
  1900	 -24021.0	 -23910.0	    -75.7	    -35.2	   0.0102832	  0.00259625	 0.000369614	    -369.414	     6.42215	     0.75951	0.0342486	1.54883	5.79137	0.644491	0.254791	0.100719	-283.107	-69.2216	-369.414	CLADE2	CLADE3	0.941717	1.05403	0.52846	1.65355	1.82591	0.478991	1.16147	0.472279	1.22335	1.35439	1.66501	0.23759	2.50928	0.351377	1.18385	1.05043	1.56412	1.75141	0.233877	0.364992	2.02198	1.19858	1.33993	0.619921	0.455739	1.24048	1.14833	0.377895	1.53126	2.24063	1.35238	0.496104	0.929017	0.872193	1.21349	0.100311	1.19678	0.958691	0.0815059	0.755899	0.718769	1.5782	-105.173	-60.244	-149.351	-19.8168	-101.302	-83.0538	-33.4505	-141.02	-302.785	-85.3394	-161.791	-157.283	-62.4456	-68.7431	-87.2726	-153.032	-213.243	-69.2216	-283.107	-46.9556	-369.414	0.485149	3.375	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.00513823	9.61538E-09	0.0585277	9.61538E-09	0.0585277	
  2000	 -24026.1	 -23906.2	    -77.2	    -42.7	   0.0101044	   0.0042368	 0.000339522	    -483.735	     5.72385	     0.75951	0.0353448	1.5984	5.97673	0.648662	0.25644	0.0948978	-254.523	-109.761	-483.735	CLADE2	CLADE3	1.79667	2.79674	0.573668	1.25742	1.3257	0.363489	0.374658	0.604052	1.56469	0.841049	1.03394	0.258166	2.54022	0.425407	0.809681	0.984131	2.14732	3.06658	0.375317	0.585726	0.553786	1.29478	0.86129	0.781975	0.386026	1.20776	1.37169	1.58453	2.77472	0.243276	0.488808	0.679707	1.82741	0.95325	1.33437	0.0502223	0.987253	0.783212	0.274182	0.962631	0.63572	0.594822	-95.8266	-65.6307	-204.959	-62.4442	-91.6339	-126.726	-46.0004	-91.705	-273.454	-87.7909	-197.674	-146.578	-40.64	-66.0839	-71.2073	-183.661	-204.519	-109.761	-254.523	-24.7259	-483.735	0.485149	3.375	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.00342549	9.61538E-09	0.0390184	9.61538E-09	0.0585277	
  2100	 -24045.2	 -23920.7	    -81.1	    -43.4	  0.00561888	  0.00136428	 0.000279579	    -447.482	     5.60517	     1.14078	0.0299848	1.35601	5.07037	0.636119	0.232634	0.131247	-351.764	-83.1293	-447.482	CLADE2	CLADE3	1.28154	1.28442	0.9366	0.902516	2.02702	0.555779	1.07346	0.709945	1.83899	1.48363	2.11892	0.264939	2.66598	0.411238	1.28395	1.07666	1.9441	2.77636	0.485255	0.463299	1.18415	0.890237	1.72717	0.609718	1.6249	0.691545	1.58982	0.264717	0.975453	0.510219	2.91406	1.47348	0.948819	0.485616	1.55402	0.257458	0.522273	1.0231	1.79358	0.513528	0.23047	1.05565	-120.076	-79.3084	-385.125	-35.3187	-118.392	-106.769	-40.1942	-109.481	-397.54	-116.994	-193.473	-191.812	-59.9713	-126.52	-71.5744	-191.14	-339.294	-83.1293	-351.764	-47.186	-447.482	0.485149	3.375	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.00342549	9.61538E-09	0.0390184	9.61538E-09	0.0585277	
  2200	 -24042.2	 -23914.6	    -76.5	    -51.2	   0.0101906	  0.00227158	  0.00035628	    -440.113	     5.60517	     1.31699	0.0330567	1.49493	5.58982	0.64209	0.249549	0.108361	-225.572	-77.2755	-440.113	CLADE2	CLADE3	1.4404	1.77599	0.877134	3.51016	3.02217	0.889795	1.74854	0.855211	1.74347	1.40732	1.87492	0.438479	2.93606	0.641298	1.66277	1.4236	1.43986	1.81294	1.17325	1.12016	1.98459	1.12483	2.42476	0.348253	0.360593	3.22793	0.59914	0.198234	1.20072	0.286322	1.32481	0.254521	1.41551	1.98018	1.67975	0.166977	0.391632	0.803171	0.610217	3.12377	0.421756	2.70148	-140.176	-58.9459	-99.0216	-24.0797	-129.522	-83.8188	-26.9456	-45.2814	-330.26	-124.926	-193.473	-168.841	-75.4745	-97.0755	-75.4957	-190.796	-205.009	-77.2755	-225.572	-41.982	-440.113	0.485149	3.375	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.00228366	9.61538E-09	0.0390184	0.00961539	0.0390184	
  2300	 -24046.4	 -23915.5	    -81.6	    -49.3	  0.00664924	  0.00175615	 0.000274702	    -485.643	     5.70424	     1.31699	0.0337019	1.52411	5.69893	0.639497	0.257744	0.102759	-269.249	-77.3169	-485.643	CLADE2	CLADE3	2.0281	2.42895	0.868735	1.33478	1.35988	0.527303	1.96475	1.59484	3.31186	1.9978	2.58314	0.475002	3.47388	0.807402	1.97061	1.2335	1.49561	1.96814	1.11223	1.15906	1.81842	0.647383	2.5544	2.40035	1.68064	1.02035	1.50175	0.928239	0.940133	0.354154	1.38321	0.181449	2.45594	1.23348	1.72254	0.58495	0.290006	0.0978819	1.0484	0.975999	0.560588	1.339	-174.859	-88.4444	-358.959	-32.1475	-162.61	-94.0891	-99.2522	-65.8435	-351.188	-100.349	-258.294	-172.077	-100.161	-232.505	-55.8053	-228.012	-244.805	-77.3169	-269.249	-37.359	-485.643	0.316832	5.0625	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.00152244	9.61538E-09	0.0260123	0.00961539	0.0390184	
  2400	 -24056.1	 -23920.6	    -78.8	    -56.7	  0.00733277	  0.00193377	  0.00029884	    -434.222	     5.89057	     1.36147	0.0308099	1.39332	5.20989	0.639497	0.23526	0.125243	-282.681	-91.6621	-434.222	CLADE2	CLADE3	2.07336	2.78141	1.94947	2.35647	5.05848	1.98593	2.19611	0.988647	1.86557	1.27946	2.14832	0.536855	3.49721	0.662122	1.35572	2.15471	2.24286	2.79611	1.02686	2.32274	1.73461	0.727684	1.06818	2.80447	0.790371	1.51105	1.24136	2.13261	0.72682	0.107463	2.74417	0.0408451	2.5742	1.43884	0.838992	0.255719	0.245089	1.46954	0.114722	1.21469	0.650548	2.38931	-169.833	-46.0441	-182.949	-26.5252	-156.14	-119.227	-17.9882	-37.2884	-380.607	-57.782	-285.264	-149.633	-58.4471	-186.117	-81.4315	-284.202	-198.805	-91.6621	-282.681	-29.3552	-434.222	0.316832	5.0625	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.00152244	9.61538E-09	0.0260123	9.61538E-09	0.0260123	
